name,ring,quadrant,status,description
Browserstack,Support,Tools,in,"Saas based web & mobile testing platform that allows developers to test across browsers, operating systems & real-life mobile devices. This has been a staple of our cross-browser testing strategy for some time and is used on many projects.<br /><br /><a href='https://www.browserstack.com/' target='_blank'>Browserstack website</a>."
Rollup,Support,Tools,out,"Rollup is a module bundler for JavaScript which compiles small pieces of code into something larger and more complex, such as a library or application.<br /><br />It uses the new standardized format for code modules included in the ES6 revision of JavaScript, instead of previous idiosyncratic solutions such as CommonJS and AMD.<br /><br /><a href='https://rollupjs.org/' target='_blank'>Rollup website</a>."
Iron-session,Support,Tools,new,"Node.js stateless session utility using signed and encrypted cookies to store data. Works with Next.js, Express, and Node.js HTTP servers.<br /><br />The session data is stored in encrypted cookies (seals). And only your server can decode the session data. There are no session ids, making iron sessions stateless from the server point of view.<br /><br /><a href='https://github.com/vvo/iron-session' target='_blank'>Iron-session GitHub repo</a>."
MSW,Support,Tools,same,"Mock Service Worker - Intercept & mock requests at the network level via service workers.<br /><br />We use this to make mocking of network requests easier in our unit tests.<br /><br /><a href='https://mswjs.io/' target='_blank'>MSW website</a>."
Commitizen,Support,Tools,new,"We use Commitizen to define and enforce a set of rules for committing code to our projects.<br /><br />We use the Commitizen CLI to simplify the creation of commit messages and manage the versioning of releases based on those commits.<br /><br /><a href='https://commitizen-tools.github.io/commitizen/' target='_blank'>Commitizen website</a>."
nvm,Support,Tools,new,"Version manager for NodeJS.<br /><br />This allows us to install multiple versions of Node on a machine.<br /><br />We use an .nvmconfig file to force specific versions of Node when a project requires it.<br /><br /><a href='https://github.com/nvm-sh/nvm' target='_blank'>nvm GitHub repo</a>."
Lighthouse,Support,Tools,new,"Chrome web browser plugin for analysing a web page to assess it's performance, quality, and correctness.<br /><br />We use this tool as part of our exploratory testing and in our pipelines to ensure that the quality of a code deployment hasn't negatively impacted on the web app.<br /><br /><a href='https://chrome.google.com/webstore/detail/lighthouse/blipmdconlkpinefehnmjammfjpmpbjk?hl=en' target='_blank'>Plugin on the Chrome web store</a>."
Storybook,Support,Tools,new,"Tool for building, testing and documenting UI components in isolation.<br /><br />We have found success using Storybook to enable us to practice <a href='https://storybook.js.org/tutorials/visual-testing-handbook/react/en/vtdd/' target='_blank'>Visual Test-Driven Development (VTDD)</a><br /><br /><a href='https://storybook.js.org/' target='_blank'>Storybook website</a>."
Nx,Support,Tools,new,"A devtool for managing monorepos. It provides performance benefits via it's computation cache, dependency graph & affected commands meaning that it only rebuilds / tests apps or libs based on recent changes.<br /><br /><a href='https://nx.dev/' target='_blank'>Nx website</a>."
Browserify,Support,Tools,new,"Javascript Module Bundler.<br /><br /><a href='https://browserify.org/' target='_blank'>Browserify website</a>."
Supertest,Support,Tools,new,"<a href='https://github.com/ladjs/superagent' target='_blank'>Superagent</a> driven abstraction for testing HTTP calls"
Concurrently,Support,Tools,new,"Tool to allow multiple commands to be run concurrently.<br /><br /><a href='https://github.com/open-cli-tools/concurrently#readme' target='_blank'>Concurrently Github repo</a>."
StyleLint,Support,Tools,new,"A linter for enforcing CSS styles and conventions, as well as enforce non-stylistic conventions.<br /><br /><a href='https://stylelint.io/' target='_blank'>StyleLint website</a>"
JAWS,Trial,Tools,new,"A <a href='https://support.freedomscientific.com/Downloads/JAWS' target='_blank'>screen reader for Windows</a> that can be used to test web content for accessibility. Some information on how to use it can be found on webAIM <a href='https://webaim.org/articles/jaws/' target='_blank'>here</a>"
Google Optimise360,Trial,Tools,new,"Optimisation, Insights, User Journey Testing & Personalisation tool from Google. Designed to work seamlessly with other Google solutions such as Analytics, Ads & Cloud.<br /><br /><a href='https://marketingplatform.google.com/intl/en_uk/about/optimize-360/benefits/' target='_blank'>Website</a>"
Launch Darkly,Trial,Tools,new,"Feature management suite allowing easy and fast switching of feature flags. Can be used to launch features behind flags and toggle on and off according to release schedule, with flag switching taking under 1s. Has a native JavaScript SDK to optimise management of flags locally.<br /><br /><a href='https://launchdarkly.com/features/feature-flags/' target='_blank'>Launch Darkly website</a>."
Detox,Trial,Tools,new,"Gray box end-to-end testing and automation framework for React Native apps.<br /><br /><a href='https://wix.github.io/Detox/' target='_blank'>Detox website</a>."
Postman,Trial,Tools,new,"Platform to help design, test & modify apis.<br /><br /><a href='https://www.postman.com/' target='_blank'>Postman website</a>."
Storyshots,Trial,Tools,new,"Adds automatic Jest snapshot testing for <a href='https://storybook.js.org/' target='_blank'>Storybook</a>.<br /><br /><a href='https://storybook.js.org/addons/@storybook/addon-storyshots' target='_blank'>Storyshot website</a>"
Parcel,Assess,Tools,new,"Relatively new build tool promising fast builds of web projects (10-20x faster than other JS build tools according to reported figures). Built in Rust. Supports multi-core, parallelised builds which are cached by Parcel. Supports building files on demand.<br /><br /><a href='https://parceljs.org/' target='_blank'>Parcel website</a>"
Vitest,Assess,Tools,new,"Unit testing framework powered by Vite.<br /><br /><a href='https://vitest.dev/' target='_blank'>Vitest website</a>"
Tailwind,Assess,Tools,new,"Utility first css framework.<br /><br /> <a href='https://tailwindcss.com/' target='_blank'>Tailwind website</a>."
TDD,Assess,Techniques,new,"Software development methodology focusing on testing prior to feature development (Related to a concept known as Test First). Follows a 'Red'-'Green'-'Refactor' cadence whereby a minimum requirement is tested before functionality is written, minimum possible functionality is written to pass the test, and the resulting code is refactored using the passed test as a benchmark for success. <a href='https://www.agilealliance.org/glossary/tdd/' target='_blank'>More info</a>."
Four Key Metrics,Assess,Techniques,new,TBC
Serverless,Assess,Techniques,new,"Broad suite of technologies provided by AWS to facilitate the deployment of applications without the need for running a central server. Including stateless function computation, Event management, API gateway, Data storage and more. Serverless architecture can be managed and deployed using Terraform. <a href='https://aws.amazon.com/serverless/' target='_blank'>More info</a>"
Code / Deploy On The Edge,Assess,Techniques,in,TBC
Functional Programming,Assess,Techniques,out,"A programming paradigm whereby programs are produced by the composition and application of functions. Functions are first class citizens in JavaScript and many functional programming concepts are either already part of the language or are in proposal stage (e.g. the <a href='https://github.com/tc39/proposal-pipeline-operator' target='_blank'>Pipe operator</a>. The React framework has been moving in a functional direction for some time, with function components now being the recommended approach."
Monads,Assess,Techniques,new,TBC
Blue Green Deployments,Trial,Techniques,same,"An application release strategy that gradually moves the flow of traffic from one (blue) version of an app or service to another (green) using a load balancer, subject to satisfactory performance with the aim of deprecating and removing the blue environment. Can be facilitated with tools such as LaunchDarkly or Google Optimise360. <a href='https://martinfowler.com/bliki/BlueGreenDeployment.html' target='_blank'>More info</a>. Similar to Canary Deployments"
Canary Deployments,Trial,Techniques,new,"An application release strategy that deploys an update to a small subset of servers and nodes to check the integrity of a release, before rolling the update out to all servers or nodes once satisfied. <a href='https://circleci.com/blog/canary-vs-blue-green-downtime/#:~:text=Canary%20deployment%20works%20similarly%20to,first%2C%20before%20finishing%20the%20others.' target='_blank'>More info</a>. Similar to Blue Green Deployments"
Single-Piece Flow,Trial,Techniques,new,TBC
Pair Programming,Support,Techniques,new,"A software development technique where two programmers work together in order to develop a feature. One programmer takes the role of Driver to write code and another reviews the code as it is typed in. Facilitates communication and knowledge-sharing within teams and produces better resulting code due to on-the-fly peer review. Facilitated remotely using telecommunication software, and it is also possible to collaborate in an environment remotely, for example using <a href='https://code.visualstudio.com/learn/collaboration/live-share'>Microsoft Live Share</a>. <a href='https://www.agilealliance.org/glossary/pairing/' target='_blank'>More info</a>"
Mob Programming,Support,Techniques,new,"A software development technique where a whole team will work on the same problem. Similar to Pair Programming. Can be used for programming tasks as well as defining and estimating user stories, designing and testing. <a href='https://www.agilealliance.org/resources/sessions/mob-programming-aatc2017/' target='_blank'>More info</a>"
Theming,Support,Techniques,new,TBC
Feature Toggling,Support,Techniques,new,"Software development and release technique that uses conditions to enable or disable features at runtime. Facilitates more frequent releases by allowing for more flexibility with deployed code and allowing features to be switched on and off without redeployment. Can be facilitated with tools such as <a href='https://launchdarkly.com/' target='_blank'>LaunchDarkly</a>"
A/B Testing,Support,Techniques,new,"Otherwise known as split testing. Uses a load balancer to deliver one of several (usually two) versions of a resource to a user. The analytics from these groupings can then be compared using other tools to determine if a change has had an intended effect (e.g. an increased sales conversion rate). <a href='https://vwo.com/ab-testing/' target='_blank'>More info</a>."
Bit,Assess,Platforms,in,"An open source toolchain for component-driven software. Facilitates the connection of modular software components. Use cases include Design systems, Micro frontends, Monorepos and Microservices. <a href='https://bit.dev/' target='_blank'>More info</a>"
Vercel,Assess,Platforms,out,"A platform offering a number of services for developing, previewing and shipping frontend work, including Frontend infrastructure, Edge functions, Analytics, a CLI, CI and their flagship frontend product Next.js. <a href='https://vercel.com/' target='_blank'>More info</a>"
S3 Bucket,Trial,Platforms,new,"AWS hosted cloud storage. Offers the ability to store data for virtually any use case, with multiple types of storage ranging from fast ready-access to deep 'glacier' backup storage. Marketing materials quote exabyte-scale storage for single companies. <a href='https://aws.amazon.com/s3/' target='_blank'>More info</a>."
Cloudflare CDN,Trial,Platforms,same,"Global content delivery network with extensive worldwide network. Highly programmable with dynamic caching. Offers multiple pricing options according to scale of business. <a href='https://www.cloudflare.com/en-gb/cdn/' target='_blank'>More Info</a>"
Docker,Support,Platforms,new,"A software platform that allows for quick building, testing and deployment of applications. Docker packages software into containers that allow for software to be self-contained, with all dependencies necessary to deploy that software on any supported environment, a process known as 'containerisation'. Docker containers can be hosted on cloud environments including AWS, Azure and Google Cloud. <a href='https://www.docker.com/' target='_blank'>More info</a>."
Azure Application Insights,Support,Platforms,new,"Platform to collect, analyse and view telemetry data from cloud environments. Offers a suite of tools for using telemetry including curated insights, logging, critical situation alerts, troubleshooting data and detailed visualisations of telemetry data. <a href='https://azure.microsoft.com/en-gb/products/monitor' target='_blank'>More info</a>"
Azure App Configuration,Support,Platforms,new,"Azure service to centrally manage application settings and feature flags. Useful for storing all application settings to be served to multiple services and products. <a href='https://learn.microsoft.com/en-us/azure/azure-app-configuration/overview' target='_blank'>More info</a>"
Azure DevOps,Support,Platforms,new,"A suite of tools from Microsoft including repos, pipelines, agile boards, test plans, CI/CD and more. A one-stop-shop for all things DevOps from Microsoft. <a href='https://azure.microsoft.com/en-gb/products/devops/' target='_blank'>More info</a>."
Amplience,Support,Platforms,new,"API-first headless CMS designed for enterprise retail. <a href='https://amplience.com/' target='_blank'>More info</a>."
Azure Frontdoor,Support,Platforms,new,"Azure provided CDN providing global access to resources. Scales using Microsoft's network, including edge support. Highly configurable. <a href='https://learn.microsoft.com/en-us/azure/frontdoor/front-door-overview' target='_blank'>More info</a>."
Blob-Storage,Support,Platforms,new,"Scalable and secure cloud storage for objects. Facilitates the creation of Data Lakes. Flexible costings. Part of Microsoft's Azure suite of cloud tools. <a href='https://azure.microsoft.com/en-gb/products/storage/blobs/'>More info</a>."
Plyr,Support,Platforms,new,"A simple, lightweight and accessible HTML5 video player. <a href='https://plyr.io/' target='_blank'>More info</a>."
Enzyme,Retire,Languages-And-Frameworks,in,"A testing utility for react that allows you to test React component output. Testing of output is quite imperative. Has largely been retired in favour of tools such as Testing-Library. <a href='https://enzymejs.github.io/enzyme/' target='_blank'>More info</a>."
GraphQL,Assess,Languages-And-Frameworks,out,"A query language for APIs and a runtime for fulfilling queries with existing data. Allows the building of hierarchies within the API and selective querying of data by the client. Multiple GraphQL frontend tools exist, including Apollo and Relay, which can offer features to streamline, componentise and optimise data fetching throughout an application. An alternative to REST. <a href='https://graphql.org/' target='_blank'>More info</a>."
Turborepo,Assess,Languages-And-Frameworks,new,"A 'high-performance' build system for JavaScript and TypeScript codebases. Features incremental builds, parallel builds, content-aware hashing and remote caching for CI/CD pipelines. Supports monorepos. Part of the 'Turbo Build' suite of products. <a href='https://turbo.build/repo' target='_blank'>More info</a>."
MaterialUI 5,Trial,Languages-And-Frameworks,same,"A widely used, 'fully-loaded' component library for react which offers fully-featured components that implement Google's Material Design principles. Components are customisable and offer their own APIs. Part of the MUI React UI Tools platform. <a href='https://mui.com/material-ui/getting-started/overview/' target='_blank'>More info</a>."
Webpack Federated Modules,Trial,Languages-And-Frameworks,new,"Used to build and maintain frontend modules separately, which can be composed together to form a finished product. Separate builds act like containers which can be used and consumed by other containers. Often known as 'Micro-Frontends'. <a href='https://webpack.js.org/concepts/module-federation/'>More info</a>."
govuk-frontend,Trial,Languages-And-Frameworks,new,"A set of tools used to build UI for government platforms and services. Maintained by the Government Digital Service. Extremely useful for complying with Government requirements. <a href='https://github.com/alphagov/govuk-frontend' target='_blank'>More info</a>."
Native Base,Trial,Languages-And-Frameworks,new,"An accessible, utility-first component library for consistent UI across React and React Native. <a href='https://nativebase.io/'>More info</a>."
SWR,Trial,Languages-And-Frameworks,new,"React hooks library for data fetching using the stale while revalidate caching strategy. Allows for more effective management of async data fetching within modern React frontends. Offers a useful set of abstractions that prevent manually writing useEffect calls, helping eliminate possible sources of error. Maintained by Vercel. <a href='https://swr.vercel.app/' target='_blank'>More info</a>"
Webpack 5,Support,Languages-And-Frameworks,new,"A very widely used free and open source module bundler for Javascript. Creates a dependency graph from a project and performs code-splitting to turn it into modules. Has a wide ecosystem of useful plugins for configuring support for languages, files, frameworks, style libraries etc. Also has a dev server useful for project development. <a href='https://webpack.js.org/' target='_blank'>More info</a>."
Angular,Support,Languages-And-Frameworks,new,"Widely used frontend framework supported by Google. Built on TypeScript and favours a batteries-included approach with a number of Angular-specific libraries and tooling. Well supported, but as of 2021, it is trending in a negative direction on the <a href='https://2021.stateofjs.com/en-US/libraries/' target='_blank'>State of JS Survey</a>. <a href='https://angular.io/guide/what-is-angular' target='_blank'>More info</a>"
Styled Components,Support,Languages-And-Frameworks,new,"CSS-in-JS library to create custom components with styles applied to them at the JS level. Facilitates direct coupling of styles and application logic, as well as creating reusable styles outside of a traditional stylesheet. <a href='https://styled-components.com/' target='_blank'>More info</a>."
React Native,Support,Languages-And-Frameworks,new,"Create native apps for Android, iOS and more using React. Use react primitives render to native platform UI. Can interact with native code and APIs via Reacts declarative UI paradigm and JavaScript. A rich toolset. <a href='https://reactnative.dev/'>More info</a>."
NPM 8,Support,Languages-And-Frameworks,new,"A widely used package manager for JavaScript. Supports Workspaces for splitting projects into sub-projects. <a href='https://npmjs.com/' target='_blank'>More info</a>."
yup,Support,Languages-And-Frameworks,new,"Runtime object schema definer and validator. <a href='https://github.com/jquense/yup' target='_blank'>More info</a>."
react-hook-form,Support,Languages-And-Frameworks,new,"A form helper library for React using Hooks which offers helpers for form & schema validation, form state, error handling, integrating with app state, form integration and preventing unnecessary re-renders. Helps take the pain out of forms, similar to a library such as Formik. <a href='https://react-hook-form.com/' target='_blank'>More info</a>."
Clean-CSS,Support,Languages-And-Frameworks,new,"A CSS optimiser for node.js and any modern browser for tasks such as minifying, optimising properties, merging media queries, etc. <a href='https://github.com/clean-css/clean-css' target='_blank'>More info</a>"
Mobx,Support,Languages-And-Frameworks,new,"A framework-agnostic state management framework for JavaScript based on functional reactive programming. Defines state which is observable, updated using actions, with UI being a derivation of state. <a href='https://mobx.js.org/README.html' target='_blank'>More info</a>."
SwiperJS,Support,Languages-And-Frameworks,new,"Free and Open Source mobile touch slider with hardware-accelerated transitions and native behaviour, designed for modern apps. Library agnostic, with a rich API. <a href='https://swiperjs.com/' target='_blank'>More info</a>"
React Router,Support,Languages-And-Frameworks,new,"A very widely used tool for handling page routing within React applications. Leverages the Link component within React code to provide navigation within a react Single Page App. Contains functionality for dealing with routing issues such as URL parameters, browser navigation and incorrect URLS. <a href='https://reactrouter.com/en/main' target='blank'>More info</a>."
Classnames,Support,Languages-And-Frameworks,new,"A simple tool for conditionally joining CSS class names together, rather than using template literal conditional statements or manual string joining. <a href='https://www.npmjs.com/package/classnames' target='_blank'>More info</a>."
